datetime,Baron_discharge_m3s,Hueco_discharge_m3s,Jacobs_discharge_m3s,PRCP_mm,T_AVER
3/19/03,3.256437405,2.681605411,,0,63.5
3/20/03,3.228120558,2.664615303,,0,57.5
3/21/03,3.228120558,2.613644978,,0,58.5
3/22/03,3.228120558,2.559842969,,1.778,56.5
3/23/03,3.228120558,2.667446987,,0,60.5
3/24/03,3.199803711,2.653288564,,0,64
3/25/03,3.228120558,2.698595519,,1.778,66.5
3/26/03,3.228120558,2.766555952,,0,65
3/27/03,3.228120558,2.633466771,,0,66.5
3/28/03,3.228120558,2.579664762,,0,59
3/29/03,3.199803711,2.514536014,,0,50.5
3/30/03,3.199803711,2.554179599,,0,53.5
3/31/03,3.199803711,2.562674654,,0,58.5
4/1/03,3.199803711,2.650456879,,0,65
4/2/03,3.171486864,2.698595519,,0,67.5
4/3/03,3.171486864,2.636298456,,0,74
4/4/03,3.143170017,2.647625195,,0,76
4/5/03,3.143170017,2.593823185,,0.254,75
4/6/03,3.143170017,2.613644978,,0.762,75.5
4/7/03,3.143170017,2.54851623,,0,72
4/8/03,3.11485317,2.412595364,,0,58.5
4/9/03,3.11485317,2.412595364,,0,56.5
4/10/03,3.11485317,2.412595364,,0,58
4/11/03,3.11485317,2.412595364,,0,66
4/12/03,3.086536323,2.40410031,,0,67.5
4/13/03,3.086536323,2.321981454,,0,71
4/14/03,3.086536323,2.22287249,,0,72.5
4/15/03,3.086536323,2.22287249,,0,73
4/16/03,3.058219476,2.22287249,,0.254,75.5
4/17/03,3.058219476,2.22287249,,0,71
4/18/03,3.001585782,2.22287249,,0,73
4/19/03,2.888318394,2.22287249,,0,71.5
4/20/03,2.916635241,2.22287249,,0,70
4/21/03,2.916635241,2.22287249,,0,71.5
4/22/03,2.916635241,2.22287249,,1.016,64
4/23/03,2.916635241,2.22287249,,0,72
4/24/03,2.944952088,2.22287249,,0,80.5
4/25/03,2.944952088,2.228535859,,0,72.5
4/26/03,2.944952088,2.22287249,,0,72
4/27/03,2.944952088,2.22287249,,0,75
4/28/03,2.916635241,2.22287249,,0,76
4/29/03,2.916635241,2.22287249,,0,74
4/30/03,2.916635241,2.22287249,,0.254,77.5
5/1/03,2.916635241,2.22287249,,0,79.5
5/2/03,2.916635241,2.22287249,,0,81
5/3/03,2.916635241,2.22287249,,0,76.5
5/4/03,2.916635241,2.22287249,,0,82.5
5/5/03,2.916635241,2.22287249,,0,82.5
5/6/03,2.888318394,2.40976368,,0.762,78.5
5/7/03,2.888318394,2.387110202,,0,83
5/8/03,2.888318394,2.406931995,,0,85.5
5/9/03,2.888318394,2.242694282,,0,83.5
5/10/03,2.888318394,2.22287249,,0,82.5
5/11/03,2.888318394,2.22287249,,0.254,76.5
5/12/03,2.888318394,2.22287249,,14.224,67.5
5/13/03,2.888318394,2.22287249,,0,79.5
5/14/03,2.888318394,2.208714066,,0,84
5/15/03,2.860001547,2.208714066,,0,85
5/16/03,2.860001547,2.26534776,,0,87.5
5/17/03,2.860001547,2.26534776,,0,81
5/18/03,2.860001547,2.208714066,,0,80
5/19/03,2.860001547,2.208714066,,0,84.5
