Date,SWE_Ob,SWE_Yenise,SWE_Lena,SWE_Kolyma,SWE_Yukon,SWE_Mackenzie,SM_Ob,SM_Yenise,SM_Lena,SM_Kolyma,SM_Yukon,SM_Mackenzie,SF_Ob,SF_Yenise,SF_Lena,SF_Kolyma,SF_Yukon,SF_Mackenzie,SD_Ob,SD_Yenise,SD_Lena,SD_Kolyma,SD_Yukon,SD_Mackenzie,Ob_Temperature (C),Ob_Observed discharge (mm),Ob_Precipitation (mm),Ob_Potential evapotranspiration (mm),Yenisei_Temperature (C),Yenisei_Observed discharge (mm),Yenisei_Precipitation (mm),Yenisei_Potential evapotranspiration (mm),Lena_Temperature (C),Lena_Observed discharge (mm),Lena_Precipitation (mm),Lena_Potential evapotranspiration (mm),Kolyma_Temperature (C),Kolyma_Observed discharge (mm),Kolyma_Precipitation (mm),Kolyma_Potential evapotranspiration (mm),Yukon_Temperature (C),Yukon_Observed discharge (mm),Yukon_Precipitation (mm),Yukon_Potential evapotranspiration (mm),Mackenzie_Temperature (C),Mackenzie_Observed discharge (mm),Mackenzie_Precipitation (mm),Mackenzie_Potential evapotranspiration (mm)
5/1/1966,48.32504827,22.97701447,55.94249284,120.7222008,196.8349209,50.81974925,87.94652177,115.4665539,95.82218117,120.8544806,82.79407388,72.67162864,11.11171072,22.97701447,16.78844454,11.27346145,22.62872839,15.89874464,140.3878347,264.9298212,202.7981971,414.6377507,650.1320077,174.2960535,7.99010989,10.0449519,47.63535371,88.83715284,3.578355812,6.6168576,40.97030798,71.57276912,3.433233051,4.61034,28.61588228,70.19139346,-0.765931888,,8.330420607,53.03547549,1.805901194,,22.88732,59.95805181,4.995590845,,31.85071799,77.21888771
6/1/1966,5.015413191,2.226383566,5.03560678,5.90646559,134.3031952,10.84622811,16.37619528,49.66148348,24.35862812,43.28967235,45.88190923,31.8172274,1.174302884,2.226383566,4.297645795,8.178736186,1.620560959,1.97125798,12.42461802,47.82857254,16.3795482,17.90105696,437.7844228,29.64080914,14.55835229,30.0302969,68.55449863,115.3862734,11.62389235,82.705536,54.53243919,98.12524461,12.10445515,100.5444,56.09048107,98.88440522,9.067534483,,36.62117986,90.58317074,10.57017544,,31.70386,98.43539735,11.1889356,,39.76691295,101.4908583
7/1/1966,0.118055087,0.536280305,0.024214246,0.267272244,121.6421177,0.881315556,0.831346518,1.873625223,0.480036413,5.082667976,3.408275588,2.014571638,0.130468857,0.536280305,0.480525249,5.268192095,0.507725787,0.511465198,0.323910837,0.858448593,0.149589674,1.626475546,403.4502548,2.738190701,18.89000043,28.8927458,50.01776271,127.5684066,14.11965368,37.611648,77.5659371,99.29954847,13.44539481,54.9252,66.37554561,96.51992958,9.953106408,,47.72635114,84.82445041,12.00574178,,35.3607,91.98150041,13.8742103,,59.61551805,98.91630364
8/1/1966,0.008697327,0.128257366,0.187088783,0.104325977,120.7273665,0.726069919,0.07059319,0.165020567,1.038213689,1.476190122,1.736270618,1.866902237,0.305038698,0.128257366,2.317792033,1.887297649,2.464935007,1.898803399,0.050160073,0.050608245,1.111573184,0.644820168,401.7254441,2.87965631,16.11785822,28.5442169,55.44641569,99.48785548,12.48195272,20.068992,73.1097162,73.4303906,12.13546174,31.4748,64.76891274,70.68783865,8.085971748,,40.18409084,58.56452602,8.793302058,,39.29429,60.4475267,11.59409285,,55.21674144,77.56447587
9/1/1966,0.219578625,6.581557832,4.165430907,3.107413148,121.8551787,1.071489309,1.50195063,5.247622723,12.50042291,9.201255598,7.0207145,4.326389301,1.657395749,6.581557832,22.30027045,21.64176794,9.934538048,5.076276108,1.27464743,4.659227987,26.20197612,19.54575042,408.9569276,5.137785704,12.17049493,17.3092881,32.08919772,73.46538301,7.931727807,19.291392,42.43307944,47.05587575,3.841059603,27.4644,44.80394905,35.71824379,1.533266606,,37.2569514,25.75551066,4.66762376,,27.68142,36.04784806,7.40640599,,31.42396507,43.69967088
10/1/1966,10.15818571,44.55104281,22.79915563,22.10431037,134.8860367,11.14841225,12.22316496,7.471766346,3.741048704,0.019555508,1.815489213,4.008614347,36.97659968,44.55104281,37.35032327,22.57692638,27.82434708,31.92961738,64.40592734,104.4035905,146.6300435,145.9401979,493.7370607,71.2287699,-1.254725328,8.32632407,49.70384615,22.3421441,-4.890815671,14.0479488,45.10854207,14.58413616,-8.423298982,14.12856,35.90862762,8.794220007,-13.55090161,,20.67058335,5.050701592,-6.811802233,,28.50057,8.795693478,-3.509068138,,39.73748891,13.45998242
11/1/1966,45.18254066,41.36917454,50.82469701,57.98693874,168.243919,38.49290672,1.158342555,1.207166764,0.036963287,4.69E-05,0.409299626,1.078628153,47.87038416,41.36917454,20.95494816,50.75029887,41.441025,29.29491812,274.9533303,357.8660265,335.3437,391.4414687,709.0637689,251.3269659,-10.33329756,5.09672136,39.28825979,6.252197601,-20.14020477,5.0986368,35.07010427,5.061657268,-28.71216041,4.85244,22.9669321,1.751956653,-25.89940036,,46.92238383,0,-18.84290427,,37.98699,3.033492896,-19.72695572,,34.37876604,3.47920156
12/1/1966,70.67434855,19.45442488,66.6317915,101.8554851,191.2095579,64.37703519,1.37E-05,7.87E-07,0,0,0,0.015057778,10.82648932,19.45442488,12.32554957,24.43425424,17.0999309,25.70840681,409.1707041,537.7065748,436.8818767,635.3706048,849.9426824,400.0672286,-23.76719823,4.67380068,11.98291123,1.878736316,-28.83082952,4.705344,23.5253693,1.971098418,-34.87092207,3.26736,17.48984986,0.5692354,-31.59218437,,25.50066148,0,-24.918341,,16.17759,3.658692185,-20.18852043,,27.50061952,1.580948498
1/1/1967,83.32415314,25.96810439,81.29900116,116.7972241,212.9524982,86.16206798,0.006495959,0.002657387,0,0,0.002019988,0.043908616,21.3343412,25.96810439,18.97746997,22.07992406,16.77245204,22.45104349,475.709956,660.0883496,531.4083425,751.2107041,969.1929325,517.5313938,-19.9032967,3.63992949,15.28223086,3.629725639,-25.73198408,4.9565952,19.08868467,1.817790684,-34.16538418,2.9034,15.83736266,0.175436477,-40.03587253,,21.19250611,1.360521137,-26.08070269,,20.5182,5.038118475,-25.1198832,,22.25740492,3.517803897
2/1/1967,101.4104656,17.08003876,94.29301687,134.4160037,227.4990697,108.5982918,0.054712663,0.012391393,0.000684521,0,0,0.025209559,16.3700367,17.08003876,10.97945076,11.15654294,20.00164293,23.17250606,556.4945779,711.2821136,600.7236938,842.7970448,1025.502582,628.2497197,-18.31505623,2.70710237,11.69200614,5.263077017,-24.6253688,4.9341312,13.08249915,2.938471584,-32.41685637,1.8432,9.754605306,1.021553384,-35.73346693,,11.7880556,0.712625293,-22.57049473,,21.33869,5.171292002,-22.81339532,,22.35226191,3.962395793
