DATE,Baron_discharge_m3s,Hueco_discharge_m3s,Jacobs_discharge_m3s,PRCP_mm,T_AVER,Barton Ck360,Colorado Rv,Bear Ck,Onion Ck,Walnut Ck
5/16/78,0.877822257,,,0,28.1,0,71.924672,,,0.13875232
5/17/78,0.877822257,,,0,28.1,0,65.12864,,,0.13308896
5/18/78,0.84950541,,,0,26.7,0,68.243488,,,0.11609888
5/19/78,0.877822257,,,0,28.3,0,71.641504,,,0.1132672
5/20/78,0.877822257,,,12.446,25,0,77.304864,,,0.5380192
5/21/78,0.877822257,,,0.254,24.4,0,63.429632,,,0.3681184
5/22/78,0.906139104,,,0,26.1,0,57.766272,,,0.16423744
5/23/78,0.877822257,,,0,26.9,0,62.863296,,,0.141584
5/24/78,0.877822257,,,0,26.9,0,67.393984,,,0.11893056
5/25/78,0.84950541,,,3.302,26.9,0,69.942496,,,0.18689088
5/26/78,0.84950541,,,45.466,27.2,0,77.8712,,,1.4724736
5/27/78,0.877822257,,,0.254,27.5,0,75.322688,,,0.5380192
5/28/78,0.877822257,,,0,26.7,0,73.340512,,,0.15291072
5/29/78,0.906139104,,,0.508,25.8,0,75.03952,,,0.12176224
5/30/78,0.906139104,,,0,25.6,0,74.756352,,,0.1132672
5/31/78,0.906139104,,,0,26.9,0,76.172192,,,0.10477216
6/1/78,0.906139104,,,9.398,25.3,0,76.45536,,,0.424752
6/2/78,0.877822257,,,1.016,26.9,0,75.03952,,,0.20104928
6/3/78,0.877822257,,,22.606,24.7,0,77.588032,,,0.424752
6/4/78,0.877822257,,,0,25.8,0,76.738528,,,0.15007904
6/5/78,0.877822257,,,0,26.7,0,74.756352,,,0.11893056
6/6/78,0.877822257,,,39.37,26.4,0,79.853376,,,4.24752
6/7/78,0.906139104,,,2.286,25,0,37.095008,,,9.6843456
6/8/78,0.991089645,,,1.016,26.4,0,2.1803936,,,0.5380192
6/9/78,0.962772798,,,0,25.3,0,58.332608,,,0.4813856
6/10/78,0.991089645,,,0,25.6,0,67.393984,,,0.27750464
6/11/78,0.991089645,,,0,27.5,0,66.261312,,,0.21520768
6/12/78,0.991089645,,,0,28.9,0,64.562304,,,0.18972256
6/13/78,0.991089645,,,0,29.2,0,72.774176,,,0.16706912
